"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",157 
"",4. TOTAL ,"","",671158 
"",III(A). POLLING PERCENTAGE 46.41 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",50 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",267 
"",3. TOTAL VALID VOTES POLLED ,"","",670841 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1506 ,AVERAGE ,ELECTORS PER POLLING S,TATION 958 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER SP R,amkishun ,"",180114 
"",RUNER-UP BSP Ka,ilash Nath Sin,gh Yadav ,179655 
"",MARGIN 459 ,"","",""


"",State/UT :S24 ,"","",Code :S24 
"","","","",No. :77 
"",Constituency :Varanasi ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,25 ,1 ,26 
"",2. NOMINATION REJECTED ,9 ,0 ,9 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,14 ,1 ,15 
"",5. FORFEITED DEPOSIT ,11 ,1 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,867349 ,694101 ,1561450 
"",2. SERVICE ,296 ,108 ,404 
"",3. TOTAL ,867645 ,694209 ,1561854 
"",III.VOTERS ,"","",""
"",1. GENERAL ,398193 ,267028 ,665221 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",269 
"",4. TOTAL ,"","",665490 
"",III(A). POLLING PERCENTAGE 42.61 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",40 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",665450 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1573 ,AVERAGE ,ELECTORS PER POLLING S,TATION 993 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP D,r. Murli Manoh,ar Joshi ,203122 
"",RUNER-UP BSP M,ukhtar Ansari ,"",185911 
"",MARGIN 17211 ,"","",""


"",State/UT :S24 ,"","",Code :S24 
"","","","",No. :78 
"",Constituency :Bhadohi ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,23 ,2 ,25 
"",2. NOMINATION REJECTED ,7 ,1 ,8 
"",3. WITHDRAWN ,3 ,1 ,4 
"",4. CONTESTED ,13 ,0 ,13 
"",5. FORFEITED DEPOSIT ,11 ,0 ,11 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,828531 ,690498 ,1519029 
"",2. SERVICE ,293 ,127 ,420 
"",3. TOTAL ,828824 ,690625 ,1519449 
"",III.VOTERS ,"","",""
"",1. GENERAL ,363955 ,295237 ,659192 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",47 
"",4. TOTAL ,"","",659239 
"",III(A). POLLING PERCENTAGE 43.39 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",554 
"",3. TOTAL VALID VOTES POLLED ,"","",658684 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1649 ,AVERAGE ,ELECTORS PER POLLING S,TATION 921 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",23-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BSP G,orakhnath ,"",195808 
"",RUNER-UP SP C,hhotelal Bind ,"",182845 
"",MARGIN 12963 ,"","",""


"",State/UT :S24 ,"","",Code :S24 
"","","","",No. :79 
"",Constituency :Mirzapur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,29 ,2 ,31 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,25 ,2 ,27 
"",5. FORFEITED DEPOSIT ,22 ,2 ,24 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,760463 ,644544 ,1405007 
"",2. SERVICE ,370 ,162 ,532 
"",3. TOTAL ,760833 ,644706 ,1405539 
"",III.VOTERS ,"","",""
"",1. GENERAL ,411128 ,322206 ,733334 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",10 
"",4. TOTAL ,"","",733344 
"",III(A). POLLING PERCENTAGE 52.18 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",6 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",489 
"",3. TOTAL VALID VOTES POLLED ,"","",732849 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1563 ,AVERAGE ,ELECTORS PER POLLING S,TATION 899 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER SP Ba,l Kumar Pate,l ,218898 
"",RUNER-UP BSP An,il Kumar Mau,rya ,199216 
"",MARGIN 19682 ,"","",""


"",State/UT :S24 ,"","",Code :S24 
"","","","",No. :80 
"",Constituency :Robertsganj ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,22 ,1 ,23 
"",2. NOMINATION REJECTED ,13 ,0 ,13 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,9 ,1 ,10 
"",5. FORFEITED DEPOSIT ,6 ,1 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,660877 ,553592 ,1214469 
"",2. SERVICE ,152 ,114 ,266 
"",3. TOTAL ,661029 ,553706 ,1214735 
"",III.VOTERS ,"","",""
"",1. GENERAL ,347120 ,251684 ,598804 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1 
"",4. TOTAL ,"","",598805 
"",III(A). POLLING PERCENTAGE 49.30 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",5 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",3488 
"",3. TOTAL VALID VOTES POLLED ,"","",595312 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1515 ,AVERAGE ,ELECTORS PER POLLING S,TATION 801 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER SP Pa,kauri Lal ,"",216478 
"",RUNER-UP BSP R,am Chandra T,yagi ,166219 
"",MARGIN 50259 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :1 
"",Constituency :Cooch behar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,11 ,0 ,11 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,699481 ,628472 ,1327953 
"",2. SERVICE ,769 ,364 ,1133 
"",3. TOTAL ,700250 ,628836 ,1329086 
"",III.VOTERS ,"","",""
"",1. GENERAL ,587564 ,531509 ,1119073 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1970 
"",4. TOTAL ,"","",1121043 
"",III(A). POLLING PERCENTAGE 84.35 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",760 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1120283 
"",4. TENDERED VOTES ,"","",3 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1685 ,AVERAGE ,ELECTORS PER POLLING S,TATION 788 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AIFB N,ripendra Nath ,Roy ,500677 
"",RUNER-UP AITC Ar,ghya Roy Pra,dhan ,466928 
"",MARGIN 33749 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :2 
"",Constituency :Alipurduars ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,10 ,0 ,10 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,9 ,0 ,9 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,638969 ,588423 ,1227392 
"",2. SERVICE ,1366 ,543 ,1909 
"",3. TOTAL ,640335 ,588966 ,1229301 
"",III.VOTERS ,"","",""
"",1. GENERAL ,483546 ,448895 ,932441 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1293 
"",4. TOTAL ,"","",933734 
"",III(A). POLLING PERCENTAGE 75.96 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",405 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",933329 
"",4. TENDERED VOTES ,"","",31 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1533 ,AVERAGE ,ELECTORS PER POLLING S,TATION 800 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER RSP M,anohar Tirkey ,"",384890 
"",RUNER-UP AITC Pa,ban Kumar La,kra ,272068 
"",MARGIN 112822 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :3 
"",Constituency :Jalpaiguri ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,11 ,0 ,11 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,661916 ,589033 ,1250949 
"",2. SERVICE ,861 ,332 ,1193 
"",3. TOTAL ,662777 ,589365 ,1252142 
"",III.VOTERS ,"","",""
"",1. GENERAL ,553888 ,475918 ,1029806 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1484 
"",4. TOTAL ,"","",1031290 
"",III(A). POLLING PERCENTAGE 82.36 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",532 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1030758 
"",4. TENDERED VOTES ,"","",44 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1560 ,AVERAGE ,ELECTORS PER POLLING S,TATION 801 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER CPM M,ahendra Kuma,r Roy ,469613 
"",RUNER-UP INC Ba,rma Sukhbila,s ,381242 
"",MARGIN 88371 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :4 
"",Constituency :Darjeeling ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,0 ,14 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,619573 ,585008 ,1204581 
"",2. SERVICE ,8067 ,2816 ,10883 
"",3. TOTAL ,627640 ,587824 ,1215464 
"",III.VOTERS ,"","",""
"",1. GENERAL ,500015 ,464786 ,964801 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1570 
"",4. TOTAL ,"","",966371 
"",III(A). POLLING PERCENTAGE 79.51 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",541 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",965830 
"",4. TENDERED VOTES ,"","",32 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1539 ,AVERAGE ,ELECTORS PER POLLING S,TATION 782 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-03-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER BJP Ja,swant Singh ,"",497649 
"",RUNER-UP CPM Ji,besh Sarkar ,"",244360 
"",MARGIN 253289 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :5 
"",Constituency :Raiganj ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,11 ,1 ,12 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,11 ,1 ,12 
"",5. FORFEITED DEPOSIT ,10 ,0 ,10 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,582958 ,524924 ,1107882 
"",2. SERVICE ,334 ,166 ,500 
"",3. TOTAL ,583292 ,525090 ,1108382 
"",III.VOTERS ,"","",""
"",1. GENERAL ,465910 ,430177 ,896087 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",2312 
"",4. TOTAL ,"","",898399 
"",III(A). POLLING PERCENTAGE 81.05 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",440 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",897959 
"",4. TENDERED VOTES ,"","",69 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1373 ,AVERAGE ,ELECTORS PER POLLING S,TATION 806 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-04-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC D,eepa Dasmun,si ,451776 
"",RUNER-UP CPM Bi,reswar Lahiri ,"",346573 
"",MARGIN 105203 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :6 
"",Constituency :Balurghat ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,0 ,8 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,8 ,0 ,8 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,529335 ,480223 ,1009558 
"",2. SERVICE ,666 ,0 ,666 
"",3. TOTAL ,530001 ,480223 ,1010224 
"",III.VOTERS ,"","",""
"",1. GENERAL ,460821 ,412948 ,873769 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1591 
"",4. TOTAL ,"","",875360 
"",III(A). POLLING PERCENTAGE 86.65 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",596 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",874764 
"",4. TENDERED VOTES ,"","",29 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1271 ,AVERAGE ,ELECTORS PER POLLING S,TATION 794 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-04-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER RSP Pr,asanta Kumar, Majumdar ,388444 
"",RUNER-UP AITC Bi,plab Mitra ,"",383339 
"",MARGIN 5105 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :7 
"",Constituency :Maldaha Uttar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,5 ,4 ,9 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,5 ,4 ,9 
"",5. FORFEITED DEPOSIT ,4 ,3 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,573310 ,526835 ,1100145 
"",2. SERVICE ,658 ,293 ,951 
"",3. TOTAL ,573968 ,527128 ,1101096 
"",III.VOTERS ,"","",""
"",1. GENERAL ,472036 ,448106 ,920142 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1389 
"",4. TOTAL ,"","",921531 
"",III(A). POLLING PERCENTAGE 83.69 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",354 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",29 
"",3. TOTAL VALID VOTES POLLED ,"","",921148 
"",4. TENDERED VOTES ,"","",53 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1430 ,AVERAGE ,ELECTORS PER POLLING S,TATION 769 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC M,ausam Noor ,"",440264 
"",RUNER-UP CPM Sa,ilen Sarkar ,"",380123 
"",MARGIN 60141 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :8 
"",Constituency :Maldaha Dakshin ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,10 ,0 ,10 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,9 ,0 ,9 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,545051 ,506027 ,1051078 
"",2. SERVICE ,691 ,324 ,1015 
"",3. TOTAL ,545742 ,506351 ,1052093 
"",III.VOTERS ,"","",""
"",1. GENERAL ,425273 ,402285 ,827558 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1924 
"",4. TOTAL ,"","",829482 
"",III(A). POLLING PERCENTAGE 78.84 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",97 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",829385 
"",4. TENDERED VOTES ,"","",13 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1322 ,AVERAGE ,ELECTORS PER POLLING S,TATION 795 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",30-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ab,u Hasem Kha,n Choudhury ,443377 
"",RUNER-UP CPM Ab,dur Razzaque,"",307097 
"",MARGIN 136280 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :9 
"",Constituency :Jangipur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,7 ,0 ,7 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,5 ,0 ,5 
"",5. FORFEITED DEPOSIT ,3 ,0 ,3 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,561034 ,525018 ,1086052 
"",2. SERVICE ,701 ,301 ,1002 
"",3. TOTAL ,561735 ,525319 ,1087054 
"",III.VOTERS ,"","",""
"",1. GENERAL ,480603 ,452937 ,933540 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",741 
"",4. TOTAL ,"","",934281 
"",III(A). POLLING PERCENTAGE 85.95 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",209 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",934072 
"",4. TENDERED VOTES ,"","",7 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1334 ,AVERAGE ,ELECTORS PER POLLING S,TATION 814 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Pr,anab Mukherj,ee ,506749 
"",RUNER-UP CPM M,riganka Sekha,r Bhattacharya ,378600 
"",MARGIN 128149 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :10 
"",Constituency :Baharampur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,0 ,8 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,8 ,0 ,8 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,612218 ,563533 ,1175751 
"",2. SERVICE ,2909 ,1278 ,4187 
"",3. TOTAL ,615127 ,564811 ,1179938 
"",III.VOTERS ,"","",""
"",1. GENERAL ,492070 ,458548 ,950618 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1595 
"",4. TOTAL ,"","",952213 
"",III(A). POLLING PERCENTAGE 80.70 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",19 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",952194 
"",4. TENDERED VOTES ,"","",38 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1458 ,AVERAGE ,ELECTORS PER POLLING S,TATION 806 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ad,hir Ranjan Ch,owdhury ,541920 
"",RUNER-UP RSP Pr,amothes Muk,herjee ,354943 
"",MARGIN 186977 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :11 
"",Constituency :Murshidabad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,9 ,2 ,11 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,9 ,2 ,11 
"",5. FORFEITED DEPOSIT ,7 ,2 ,9 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,621099 ,570451 ,1191550 
"",2. SERVICE ,903 ,446 ,1349 
"",3. TOTAL ,622002 ,570897 ,1192899 
"",III.VOTERS ,"","",""
"",1. GENERAL ,548082 ,502034 ,1050116 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1267 
"",4. TOTAL ,"","",1051383 
"",III(A). POLLING PERCENTAGE 88.14 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",408 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1050975 
"",4. TENDERED VOTES ,"","",45 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1479 ,AVERAGE ,ELECTORS PER POLLING S,TATION 805 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
